,Clinton,Trump
democratic party,1.03328245382,0.967789587742
democrats,1.32825288569,0.752868682443
depression,3.2906212971,0.303893979195
deserve,2.16438307929,0.462025419422
deserve to,1.81123378809,0.552109841686
deserves,4.99570992567,0.200171750338
deserves for,1.28059122385,0.780889312201
determined,1.20103054128,0.832618293728
did,0.712182449213,1.40413457409
did a,0.459758395429,2.17505544204
didn,1.06233126966,0.941325957884
difference,1.24129783869,0.805608427589
difference in,1.50087004374,0.666280204719
difficult,1.7508347822,0.571156119452
dignity,1.61157527569,0.620510884651
diplomacy,2.25849920552,0.442771906918
disabilities,2.14154725395,0.466952105846
disaster,0.386808548271,2.58525827433
discrimination,3.14606930227,0.317856952254
discrimination against,1.20956597083,0.826742835129
discrimination against the,1.03109244608,0.96984514221
dishonest,0.355880258999,2.80993388847
ditch,2.38727919545,0.418886907701
do,1.05713435978,0.945953549565
do as,2.20229858905,0.454071035131
do everything,2.79333225729,0.357995364637
do everything i,1.11069752186,0.900335132039
do everything we,1.13141362609,0.883850058847
do in,1.68582064821,0.593182911279
do it,0.818366382518,1.22194657718
do more,1.06087495705,0.94261816
do more to,0.442873107807,2.2579831161
do to,3.19688657682,0.31280434134
do together,1.79157947996,0.558166696587
do well,0.325690398446,3.07040061596
do you,0.335411370169,2.98141353853
do your part,1.82946841749,0.546606867023
doing everything,1.69897018122,0.588591848788
don,0.553283859287,1.80739051613
don t,1.9149669614,0.5222022208
don t know,0.615758070293,1.62401444373
don t like,0.638466109049,1.56625384782
don t want,0.986388181307,1.01379965712
don t win,0.556866959962,1.79576105587
donors,0.412744379675,2.42280706714
down all,1.82710024461,0.547315344601
down all the,1.72050370958,0.581225134496
down barriers,1.89768740892,0.526957177089
down economics,1.89343658355,0.528140212716
dreams,1.47398537568,0.678432782646
drug,3.72968917612,0.268118857304
drug costs,1.46937182807,0.680562932335
e,0.788707508297,1.26789714752
e mails,0.622657239848,1.60602003157
each,2.47709679111,0.403698395473
each other,2.28979863499,0.436719624476
early,0.59559692815,1.67898784016
early childhood,2.61459768949,0.382468019466
earned,2.03528081973,0.491332689968
easier for,2.316840727,0.431622246772
economic,1.42997420628,0.699313313213
economics,0.933122598942,1.07167054054
economy,3.77902054875,0.264618831017
economy and,0.864091218616,1.15728522459
economy that,1.17499424057,0.851068001417
education,1.19251109468,0.838566621692
effective,2.58851968945,0.386321187385
effort,2.37562468422,0.420941913359
efforts,2.24971255048,0.444501231852
efforts to,1.50903439428,0.662675419321
either,2.42708645529,0.412016637405
elect,2.0569136094,0.486165289311
election,1.32063652578,0.757210618122
emergency,3.75520308927,0.266297181864
end,1.59676519665,0.626266154911
end of,2.05835721841,0.485824321966
end of my,1.27623637293,0.783553909928
energy,0.735882173672,1.35891320075
energy superpower,1.44433692814,0.692359227629
energy to power,1.04084963811,0.960753564576
enforcement,1.02309075905,0.977430390367
enough,3.52263342354,0.283878530567
enough to,1.00332474293,0.996686274353
entrepreneurs,2.87305743197,0.348061263542
epidemic,3.51364132365,0.284605031615
equal,1.2520819712,0.798669754056
equal pay,2.90965607209,0.343683231015
equal pay for,1.28023483115,0.781106696731
equality,2.8304176314,0.353304752241
equality and,1.37822834311,0.725569173642
especially,1.38883337174,0.72002878124
establishment,0.157129634791,6.36417185929
evangelicals,0.222378172084,4.49684422994
ever,0.669557270331,1.49352422013
ever before,0.219122203449,4.56366349124
ever seen,0.617497112476,1.61944077113
every,1.16791432699,0.85622718798
every american,0.603960106743,1.65573849802
every child,2.40798707003,0.415284621935
every day,1.70930958321,0.585031529585
every home,1.60657429281,0.622442425771
every home in,1.02963404295,0.971218858634
every single day,1.71863451828,0.58185727644
everyone,1.54060116573,0.649097262969
everyone not,0.72449441437,1.38027289123
everyone not just,1.10606552161,0.90410557102
everyone who,1.012755181,0.987405464578
everything,1.21926777502,0.820164381026
everything i,4.5588166688,0.219355168819
everything i can,1.12388551906,0.889770339632
everything we,3.04360879471,0.328557336849
everything we can,1.13489167885,0.881141362327
excited,2.91072906128,0.343556538223
expand,3.51762369136,0.284282824924
extend,2.58330156908,0.387101533933
face,1.43444293657,0.697134737471
faced,2.6261594906,0.380784184502
faces,5.85489258088,0.170797326541
facing,2.14181796605,0.466893086084
fair,1.2684048845,0.788391792098
fair share,1.08833343941,0.918836051335
fairer,2.34137118262,0.427100157131
families,3.23028605917,0.309570106697
families and,1.80333080935,0.55452942678
families are,1.91542651398,0.522076933102
family,2.40090537147,0.416509543393
family leave,1.28524670256,0.778060739629
fantastic,0.329650853405,3.0335125472
fear,1.73739550538,0.575574183832
federal,1.62072187382,0.617009010708
federal government,1.22736804614,0.814751535321
feel like,3.58107973158,0.27924538825
fellow,2.02461638642,0.493920728246
fight,1.35473401561,0.738152278217
fight against,2.04227983116,0.489648864345
fight for,1.52010117389,0.657850949119
fight to,1.24604803275,0.802537280843
fighters,4.77160812706,0.209572951796
fighting,1.03282206704,0.968220985896
fighting for,2.22973294935,0.448484200895
figure,1.49346744447,0.669582724218
figure out,1.47450157364,0.678195274849
figure out how,1.42029353818,0.704079806828
finally,1.47409204536,0.678383689233
financial,1.33638956471,0.748284801385
financial crisis,1.39321417925,0.717764730571
financial crisis since,1.10693344468,0.903396680988
find,1.3962713769,0.716193153098
find common,0.999568609981,1.0004315762
first,1.32523149373,0.754585145864
first job,2.56213102979,0.390300101116
first lady,2.22987852536,0.448454921928
first term,1.52665127396,0.655028438426
five,0.244972118005,4.08209721231
flint,6.06834056099,0.164789696615
florida,0.320052554837,3.12448685345
focus,1.12310618566,0.890387759204
focused,1.34001976248,0.746257650821
focused on,3.33129016029,0.300183998356
folks,0.560395006717,1.78445558582
for,1.12877177098,0.885918682335
for all,0.864399739898,1.15687216671
for equal,1.1867651248,0.84262671619
for everybody,2.24151107579,0.446127619356
for everyone,1.3032292625,0.767324697792
for example,3.65119793847,0.273882713797
for families,0.834644960845,1.1981142245
for more,3.36483759868,0.297191163221
for people,1.05584544007,0.947108319128
for people who,2.52141180971,0.396603203075
for the wall,0.652728607595,1.53203029309
for their,1.08005170353,0.925881600608
for those,0.990701401618,1.00938587385
for us to,2.43908594591,0.409989652754
for women,2.35040135619,0.425459250764
for women s,0.700853839525,1.42683102183
forces,3.54194476035,0.282330772404
ford,0.44204209777,2.26222797567
former,3.02109022986,0.331006333447
forth,3.14030958993,0.318439940828
fortunate,2.96441049813,0.337335197211
fortune,0.35688235734,2.80204380921
forward,4.32901107013,0.230999640287
forward to,0.870820589933,1.1483421632
fought,3.21098387837,0.311431024844
four year,1.91834370736,0.52128301939
fox,0.20590247096,4.85666828251
frankly,0.149633352393,6.68300204473
free trade,0.338079715957,2.95788227687
friend of,0.645313762629,1.54963377184
friend of mine,1.03545870248,0.965755560898
from,1.17282146146,0.852644697307
front lines,3.41336539093,0.2929659985
fulfill,4.68067482964,0.213644407355
full,2.06704787557,0.483781731336
full time,2.33200501163,0.428815544998
fund,1.38076622991,0.724235557287
future,1.40267253314,0.712924774935
future and,1.51556065615,0.659821826292
future that,2.11025437884,0.473876519355
gave,0.399950977306,2.50030642939
gender card,1.2483546696,0.801054399324
general,0.330358784352,3.02701198626
generation,3.25777418775,0.306958046313
generations,1.67040481222,0.598657279171
get,0.801127873262,1.2482401791
get ahead,2.92797493809,0.341532977961
get ahead and,1.37250173845,0.728596527046
get along,0.322520739521,3.10057580013
get back,1.75529399432,0.56970513386
get equal,1.30231734533,0.767861998909
get the,1.55420565711,0.643415493585
get the cost,1.88259712522,0.531181093717
get to,1.81743124903,0.550227140936
gets the credit,1.13966203081,0.877453115894
girls,3.02357034602,0.330734821935
given potential,1.37725584467,0.726081507566
go after,3.92368093063,0.254862721429
go to college,1.50352738809,0.665102616634
goals,3.28512602805,0.304402324739
god given,0.467805719055,2.13763953553
god given potential,1.36555842896,0.732301144203
going,0.965857558328,1.03534935496
going on,0.822782283536,1.21538834757
going to,0.648184022494,1.542771752
going to be,0.812726506833,1.23042621545
going to bring,0.32557987577,3.0714429067
going to happen,1.49355678235,0.669542672778
going to have,0.760802380133,1.31440177648
going to make,0.684918009962,1.46002877053
going to pay,0.737071630929,1.35672023998
going to say,0.556532198911,1.79684122852
going to win,1.28119815224,0.780519389803
golf,0.153204423552,6.52722667409
good jobs,2.45494995908,0.407340278486
good paying,1.14002941897,0.877170346095
good paying jobs,0.982268772402,1.01805129929
got to,1.96645704787,0.508528778233
government,0.985457560102,1.01475704331
granddaughter,6.7823705886,0.147441073433
granddaughter of,1.13702239954,0.879490149363
granddaughter of a,1.13332869849,0.882356549634
grandmother,7.94880470649,0.12580507849
grandparents,5.58903730194,0.178921690083
grateful,6.85452772724,0.145888971464
grateful for,2.04415067358,0.489200729147
grateful to,0.920945766334,1.08584027047
great,0.477485113805,2.09430612827
great again,0.29307318199,3.41211704602
great depression,2.81387082939,0.355382340069
great guy,0.658534314788,1.51852375426
great job,0.368383056176,2.71456567623
great people,0.223516999735,4.47393263682
great recession,2.57725419468,0.388009844766
greatest,0.30961599089,3.22980734014
ground,2.22690326263,0.449054081863
grow,0.991749286094,1.00831935452
growth,2.20141941906,0.454252375236
guarantee equal,1.09173342063,0.915974523727
guard,2.62318557263,0.381215881344
gun,3.19132161607,0.313349803092
gun lobby,1.31204834793,0.762167035673
gun owners,1.96574596832,0.508712731003
gun safety,1.98378388136,0.504087168665
gun violence,2.90021929837,0.344801512273
guy,0.108061421808,9.25399632239
guys,0.174981065823,5.71490404004
happen,1.17255452421,0.852838805659
happening,0.572390023266,1.74706049958
hard,2.65966336131,0.375987433052
hard look,2.38647621062,0.419027851839
hard look at,2.20617901154,0.453272374893
hard to,0.565070765529,1.76968985303
hard work,1.7249518663,0.579726321375
hard working,0.93772322168,1.06641275046
harder,1.318766788,0.758284185728
have a,0.711650294913,1.40518455082
have a democrat,1.28901049569,0.775788873206
have got,2.00870647089,0.497832816536
have got to,0.752939849566,1.32812734055
have great,0.982286442945,1.01803298537
have laid,1.66909160871,0.599128289173
have made,1.62125202248,0.616807249047
have never,0.927515207308,1.07814943854
have to,1.17306156265,0.852470178752
have to borrow,1.71340680831,0.583632558918
have work,1.59437848139,0.627203648112
have worked,1.43871360316,0.69506536798
he,0.819143256719,1.22078768493
he deserves,1.36241130301,0.733992736106
he deserves for,1.25544225516,0.796532055448
he is,1.05804819647,0.945136529068
he is a,0.917922411623,1.08941669507
he s,0.4866225996,2.05498059651
health,2.32226842164,0.430613442737
health care,1.29400093747,0.772796967177
health insurance,0.81752010544,1.22321150678
health insurance program,1.14429683639,0.873899121452
heart,1.81015490601,0.552438908227
hell,0.297613524806,3.36006235151
hell out,0.574081912136,1.74191170086
hell out of,0.614883490175,1.62632436222
help,2.00916653024,0.497718822682
help people,1.53488750117,0.651513546913
help to,1.01021671903,0.989886606671
helping,1.3032909292,0.767288390946
her god,1.05310037524,0.949577099689
her own,2.36870201478,0.422172140591
here,1.1031743089,0.906475061951
here at,2.26225642179,0.442036539434
here at home,2.71615235897,0.368167859471
here in,4.40735973372,0.226893210543
here in new,1.80953406595,0.552628446636
here with,2.8401387496,0.352095474259
high,1.91708959715,0.521624029198
high school,1.35560138515,0.737679978022
higher,1.20426542867,0.830381721664
higher education,4.31421726561,0.231791756983
highly,0.161859955324,6.17818037822
hillary,0.179484627207,5.57150779741
